Season,Name,Age,Hometown,Occupation,Outcome
19,Tandra Steiner[7],30,"Sandy, Utah",Executive Assistant,[29]
19,Amanda Goerlitz[28],24,"Lake in the Hills, Illinois",Ballet Teacher,Week 1
20,Lauren Bushnell[9],25,"West Linn, Oregon",Flight Attendant,Winner
20,"Joelle ""JoJo"" Fletcher[6][11]",24,"Dallas, Texas",Real Estate Developer,Runner-up
20,Caila Quinn[12],24,"Hudson, Ohio",Software Sales Representative,Week 9
20,Amanda Stanton[11][14],25,"Laguna Beach, California",Esthetician,Week 8
20,Becca Tilley[16],26,"Shreveport, Louisiana",Chiropractic Assistant,Week 7
20,Emily Ferguson[a][11],23,"Las Vegas, Nevada",Waitress,6
20,Lauren Himle[18],25,"Dexter, Michigan",Kindergarten Teacher,Week 6
20,Olivia Caridi[5][11],23,"Austin, Texas",Former News Anchor,8
20,Leah Block[20],25,"Greenwood Village, Colorado",Event Planner,9
20,Jennifer Saviano[21],25,"Davie, Florida",Small Business Owner,Week 5
20,Jubilee Sharpe[11],24,"Fort Lauderdale, Florida",War Veteran,11
20,Amber James[23],30,"Kankakee, Illinois",Bartender,Week 4
20,Haley Ferguson[a][11],23,"Las Vegas, Nevada",Waitress,14
20,Jami Letain[26],23,"St. Albert, Alberta",Bartender,Week 3
20,Lace Morris[20],25,"Denver, Colorado",Real Estate Agent,17 (quit)
20,"Amanda ""Mandi"" Kremer[29]",28,"Portland, Oregon",Dentist,Week 2
20,"Lauren ""LB"" Barr[33]",23,"Stillwater, Oklahoma",Fashion Buyer,21 (quit)
20,Breanne Rice[34],30,"Seattle, Washington",Nutritional Therapist,Week 1
21,Vanessa Grimaldi[9],29,"Montreal, Quebec",Special Education Teacher,Winner
21,Raven Gates[11][12],25,"Hoxie, Arkansas",Fashion Boutique Owner,Runner-Up
21,Rachel Lindsay[11],31,"Dallas, Texas",Attorney,Week 9
21,Corinne Olympios[11][14],24,"Miami, Florida",Business Owner,Week 8
21,Kristina Schulman[16],24,"Lexington, Kentucky",Dental Hygienist,Week 7
21,Danielle Maltby[18],31,"Colgate, Wisconsin",Neonatal Nurse,6
21,Danielle Lombard[12][19],27,"Danville, California",Small Business Owner,Week 6
21,Whitney Fransway[21],25,"Chanhassen, Minnesota",Pilates Instructor,8
21,Jasmine Goode[22][23],29,"Maplewood, New Jersey",Pro Basketball Dancer,9
21,Alexis Waters[11][24],23,"Secaucus, New Jersey",Aspiring Dolphin Trainer,Week 5
21,Taylor Nolan[26],23,"Seattle, Washington",Mental Health Counselor,13
